Alert ID,URL,Package Name,Date
DSA-5827-1,https://lwn.net/Articles/1001703,proftpd-dfsg,2024-12-10
DSA-5826-1,https://lwn.net/Articles/1001704,smarty3,2024-12-10
DLA-3988-1,https://lwn.net/Articles/1001394,jinja2,2024-12-09
DLA-3989-1,https://lwn.net/Articles/1001397,ruby-doorkeeper,2024-12-09
DLA-3990-1,https://lwn.net/Articles/1001390,avahi,2024-12-09
DLA-3988-2,https://lwn.net/Articles/1001565,jinja2,2024-12-09
DLA-3987-1,https://lwn.net/Articles/1001396,renderdoc,2024-12-08
DLA-3986-1,https://lwn.net/Articles/1001395,php7.4,2024-12-08
DLA-3984-1,https://lwn.net/Articles/1001398,zabbix,2024-12-07
DLA-3985-1,https://lwn.net/Articles/1001393,gsl,2024-12-07
DLA-3983-1,https://lwn.net/Articles/1001140,clamav,2024-12-06
DSA-5825-1,https://lwn.net/Articles/1001391,ceph,2024-12-06
DSA-5824-1,https://lwn.net/Articles/1001392,chromium,2024-12-06
DLA-3982-1,https://lwn.net/Articles/1000570,webkit2gtk,2024-12-03
DSA-5823-1,https://lwn.net/Articles/1000569,webkit2gtk,2024-12-02
DSA-5822-1,https://lwn.net/Articles/1000448,simplesamlphp,2024-12-02
DLA-3981-1,https://lwn.net/Articles/1000447,simplesamlphp,2024-12-02
DSA-5822-1,https://lwn.net/Articles/1000448,simplesamlphp,2024-12-02
DLA-3980-1,https://lwn.net/Articles/1000446,python3.9,2024-12-02
DSA-5823-1,https://lwn.net/Articles/1000569,webkit2gtk,2024-12-02
DLA-3974-1,https://lwn.net/Articles/1000442,dnsmasq,2024-11-30
DLA-3979-1,https://lwn.net/Articles/1000444,lemonldap-ng,2024-11-30
DLA-3977-1,https://lwn.net/Articles/1000450,xfpt,2024-11-30
DLA-3978-1,https://lwn.net/Articles/1000443,editorconfig-core,2024-11-30
DLA-3976-1,https://lwn.net/Articles/1000449,tgt,2024-11-30
DLA-3975-1,https://lwn.net/Articles/1000445,proftpd-dfsg,2024-11-29
DLA-3970-1,https://lwn.net/Articles/1000159,twisted,2024-11-28
DLA-3972-1,https://lwn.net/Articles/1000160,tzdata,2024-11-28
DLA-3971-1,https://lwn.net/Articles/1000157,firefox-esr,2024-11-28
DLA-3969-1,https://lwn.net/Articles/1000041,thunderbird,2024-11-28
DLA-3973-1,https://lwn.net/Articles/1000158,redis,2024-11-28
DSA-5820-1,https://lwn.net/Articles/1000039,firefox-esr,2024-11-27
DLA-3968-1,https://lwn.net/Articles/1000040,netatalk,2024-11-27
DSA-5821-1,https://lwn.net/Articles/1000042,thunderbird,2024-11-27
DLA-3967-1,https://lwn.net/Articles/999874,mpg123,2024-11-26
DSA-5819-1,https://lwn.net/Articles/999875,php8.2,2024-11-26
DLA-3966-1,https://lwn.net/Articles/999721,pypy3,2024-11-26
DLA-3964-1,https://lwn.net/Articles/999565,intel-microcode,2024-11-24
DLA-3965-1,https://lwn.net/Articles/999563,ghostscript,2024-11-24
DSA-5818-1,https://lwn.net/Articles/999566,kernel,2024-11-24
DLA-3963-1,https://lwn.net/Articles/999561,ansible,2024-11-24
DSA-5817-1,https://lwn.net/Articles/999562,chromium,2024-11-23
DLA-3962-1,https://lwn.net/Articles/999564,glib2.0,2024-11-23
DLA-3961-1,https://lwn.net/Articles/999058,webkit2gtk,2024-11-22
DSA-5812-2,https://lwn.net/Articles/999057,postgresql-15,2024-11-21
DLA-3954-2,https://lwn.net/Articles/999056,postgresql-13,2024-11-21
DLA-3960-1,https://lwn.net/Articles/998843,thunderbird,2024-11-20
DSA-5816-1,https://lwn.net/Articles/998839,libmodule-scandeps-perl,2024-11-19
DLA-3959-1,https://lwn.net/Articles/998838,guix,2024-11-19
DLA-3957-1,https://lwn.net/Articles/998841,needrestart,2024-11-19
DSA-5815-1,https://lwn.net/Articles/998842,needrestart,2024-11-19
DLA-3958-1,https://lwn.net/Articles/998840,libmodule-scandeps-perl,2024-11-19
DLA-3956-1,https://lwn.net/Articles/998528,smarty3,2024-11-17
DLA-3954-1,https://lwn.net/Articles/998526,postgresql-13,2024-11-16
DLA-3953-1,https://lwn.net/Articles/998525,icinga2,2024-11-16
DLA-3955-1,https://lwn.net/Articles/998531,waitress,2024-11-16
DSA-5814-1,https://lwn.net/Articles/998530,thunderbird,2024-11-15
DSA-5813-1,https://lwn.net/Articles/998529,symfony,2024-11-15
DSA-5812-1,https://lwn.net/Articles/998527,postgresql-15,2024-11-15
DLA-3951-1,https://lwn.net/Articles/998274,curl,2024-11-14
DLA-3952-1,https://lwn.net/Articles/998275,unbound,2024-11-14
DSA-5809-1,https://lwn.net/Articles/997896,symfony,2024-11-11
DLA-3949-1,https://lwn.net/Articles/997895,ruby-saml,2024-11-11
DSA-5808-1,https://lwn.net/Articles/997892,ghostscript,2024-11-11
DLA-3950-1,https://lwn.net/Articles/997893,libarchive,2024-11-11
DSA-5811-1,https://lwn.net/Articles/997894,mpg123,2024-11-11
DSA-5810-1,https://lwn.net/Articles/997891,chromium,2024-11-11
DSA-5807-1,https://lwn.net/Articles/997717,nss,2024-11-10
DSA-5806-1,https://lwn.net/Articles/997716,libarchive,2024-11-09
DSA-5805-1,https://lwn.net/Articles/997715,guix,2024-11-08
DSA-5804-1,https://lwn.net/Articles/997459,webkit2gtk,2024-11-07
DLA-3948-1,https://lwn.net/Articles/997356,pypy3,2024-11-07
DLA-3947-1,https://lwn.net/Articles/997355,puma,2024-11-06
DLA-3945-1,https://lwn.net/Articles/997140,libheif,2024-11-05
DLA-3946-1,https://lwn.net/Articles/997139,context,2024-11-05
DSA-5803-1,https://lwn.net/Articles/997141,thunderbird,2024-11-05
DLA-3944-1,https://lwn.net/Articles/996866,thunderbird,2024-11-04
DSA-5802-1,https://lwn.net/Articles/996864,chromium,2024-11-03
DLA-3942-2,https://lwn.net/Articles/996865,openssl,2024-11-03
DSA-5801-1,https://lwn.net/Articles/996496,firefox-esr,2024-10-31
DLA-3943-1,https://lwn.net/Articles/996660,firefox-esr,2024-10-31
DLA-3942-1,https://lwn.net/Articles/996497,openssl,2024-10-31
DLA-3941-1,https://lwn.net/Articles/996288,texlive-bin,2024-10-30
DLA-3939-1,https://lwn.net/Articles/996287,python-git,2024-10-29
DLA-3938-1,https://lwn.net/Articles/996192,exim4,2024-10-29
DSA-5800-1,https://lwn.net/Articles/996289,xorg-server,2024-10-29
DLA-3940-1,https://lwn.net/Articles/996290,xorg-server,2024-10-29
DLA-3937-1,https://lwn.net/Articles/996032,nss,2024-10-28
DSA-5799-1,https://lwn.net/Articles/996030,chromium,2024-10-28
DSA-5798-1,https://lwn.net/Articles/996029,activemq,2024-10-26
DLA-3936-1,https://lwn.net/Articles/996028,activemq,2024-10-25
DSA-5796-1,https://lwn.net/Articles/996031,libheif,2024-10-25
DSA-5797-1,https://lwn.net/Articles/996033,twisted,2024-10-25
DLA-3935-1,https://lwn.net/Articles/995763,distro-info-data,2024-10-24
DLA-3931-1,https://lwn.net/Articles/995058,ghostscript,2024-10-22
DLA-3934-1,https://lwn.net/Articles/995278,libheif,2024-10-22
DLA-3932-1,https://lwn.net/Articles/995279,python-sql,2024-10-22
DLA-3930-1,https://lwn.net/Articles/995059,libsepol,2024-10-22
DLA-3933-1,https://lwn.net/Articles/995277,dmitry,2024-10-22
DLA-3929-1,https://lwn.net/Articles/995060,openjdk-11,2024-10-21
DLA-3927-1,https://lwn.net/Articles/995061,openjdk-17,2024-10-21
DSA-5794-1,https://lwn.net/Articles/995062,openjdk-17,2024-10-21
DSA-5795-1,https://lwn.net/Articles/995064,python-sql,2024-10-21
DLA-3926-1,https://lwn.net/Articles/995063,perl,2024-10-21
DLA-3928-1,https://lwn.net/Articles/995057,ffmpeg,2024-10-21
DLA-3925-1,https://lwn.net/Articles/994886,asterisk,2024-10-20
DSA-5793-1,https://lwn.net/Articles/994887,chromium,2024-10-20
